@relation Dataset_persona_comas_res

@attribute Zona {Urbana,Rural}
@attribute Sexo {Hombre,Mujer}
@attribute Edad numeric
@attribute 'Estado Civil' numeric
@attribute Pueblo numeric
@attribute 'Nivel edu' numeric
@attribute Matricula {no,si}
@attribute 'Prox Nivel ed' numeric

@data
Urbana,Hombre,51,2,2,77,no,0
Urbana,Mujer,40,2,2,72,si,72
Urbana,Mujer,19,1,2,42,si,72
Urbana,Hombre,27,2,2,72,no,0
Urbana,Mujer,26,2,2,77,no,0
Urbana,Hombre,2,1,2,0,no,0
Urbana,Hombre,0,1,2,0,no,0
Urbana,Mujer,67,6,1,21,no,0
Urbana,Hombre,29,3,2,32,no,0
Urbana,Mujer,28,3,1,32,no,0
Urbana,Mujer,1,1,2,0,no,0
Urbana,Mujer,0,1,2,0,no,0
Urbana,Mujer,60,4,1,21,no,0
Urbana,Mujer,32,1,2,32,no,0
Urbana,Hombre,0,1,2,0,no,0
Urbana,Hombre,23,1,2,42,no,0
Urbana,Hombre,20,1,2,42,no,0
Urbana,Hombre,63,5,2,77,no,0
Urbana,Mujer,40,5,1,32,no,0
Urbana,Hombre,23,1,2,42,no,0
Urbana,Mujer,3,1,2,0,no,0
Urbana,Hombre,51,2,1,79,no,0
Urbana,Mujer,44,2,1,21,no,0
Urbana,Hombre,19,1,2,42,si,42
Urbana,Hombre,16,1,2,42,si,42
Urbana,Hombre,13,1,2,41,si,42
Urbana,Mujer,11,1,2,41,si,41
Urbana,Mujer,7,1,2,13,si,41
Urbana,Mujer,4,1,2,11,no,0
Urbana,Mujer,21,1,2,42,no,0
Urbana,Mujer,1,1,2,0,no,0
Urbana,Mujer,49,4,1,21,no,0
Urbana,Hombre,20,1,1,42,no,0
Urbana,Mujer,64,4,2,21,no,0
Urbana,Mujer,52,4,1,72,no,0
Urbana,Mujer,25,1,2,79,no,0
Urbana,Mujer,22,1,2,42,si,72
Urbana,Hombre,58,2,1,76,no,0
Urbana,Mujer,59,2,2,21,no,0
Urbana,Hombre,41,2,1,77,no,0
